iter	Passed	Remaining
0	99	9866
1	130	6370
2	160	5197
3	194	4658
4	223	4238
5	253	3969
6	283	3761
7	313	3609
8	345	3497
9	382	3438
10	412	3335
11	441	3234
12	469	3145
13	499	3067
14	525	2978
15	557	2926
16	585	2857
17	612	2790
18	639	2726
19	666	2666
20	694	2613
21	723	2565
22	753	2521
23	782	2476
24	809	2429
25	838	2386
26	864	2337
27	893	2296
28	919	2251
29	946	2207
30	973	2167
31	1002	2129
32	1028	2087
33	1054	2047
34	1082	2010
35	1112	1977
36	1140	1941
37	1169	1908
38	1202	1880
39	1236	1854
40	1268	1826
41	1305	1803
42	1347	1785
43	1377	1752
44	1406	1718
45	1434	1684
46	1462	1649
47	1488	1612
48	1515	1577
49	1545	1545
50	1571	1509
51	1597	1474
52	1627	1443
53	1656	1410
54	1684	1377
55	1711	1344
56	1738	1311
57	1769	1281
58	1796	1248
59	1826	1217
60	1857	1187
61	1885	1155
62	1913	1124
63	1941	1091
64	1969	1060
65	2006	1033
66	2033	1001
67	2059	969
68	2095	941
69	2119	908
70	2142	875
71	2171	844
72	2196	812
73	2220	780
74	2243	747
75	2272	717
76	2299	686
77	2328	656
78	2352	625
79	2377	594
80	2403	563
81	2428	533
82	2458	503
83	2488	473
84	2518	444
85	2542	413
86	2576	384
87	2600	354
88	2625	324
89	2653	294
90	2676	264
91	2704	235
92	2728	205
93	2752	175
94	2777	146
95	2803	116
96	2830	87
97	2858	58
98	2884	29
99	2909	0
